English,Spanish
ago/behind,atrás
during,durante
alone,sólo
neither/nor,tampoco
nothng,nunca
favor,favor
so,tan
so much,tanto
better,mejor
to feel,sentir (you siento)
there/that,ahí
someone/body,alguien
until,hasta
thing/s,cosa(s)
earlier/before,antes
also/too/as well,también
no one/body,nadie
it seems (verb),parecer (me parece)
to look/watch,mirar
same,mismo
of course,claro
earth,mundo
later,después
since/from,desde
kind/sort/type,typo
late,tarde
against,contra
sometimes,a veces
one time,una vez
each/every,cada
reason,razón
maybe,quizá
some/any,alguno/a
certain/true,cierto
really,realmente
affection/fondness,ariño
side,lado
there/over there,allá
in between,entre
serious,serio
watch out!,cuidado
luck/fortune,suerte
bill/check/tally,cuenta
well ,pues
still/yet (negative),todavía
still/yet (positive),aún
meanwhile,mientras
soon,pronto
old,viejo/a
forward/go for it,adelante
