English,Spanish
Mother,Madre
Father,Padre
Sister,Hermana
Brother,Hermano
Boy friend,Novio
Girlfriend,Novia
Husband,Marido
Wife,Esposa
Boss,Jefe
Landlord,Propietario
Chef,Cocinero
Waiter,Mesero
Kid,Niño
Pilot,Piloto
Flight attendant ,Auxiliar de vuelo
House keeper,Ama de llaves
Bus driver,Conductor de autobús
Police officer,oficial de policía
Taxi driver,Taxista
Doctor,Doctor
Psychologist,Psicólogo
Nurse,Enfermero
Person,Persona
Man,Hombre
Woman,Mujer
Girl,Chica
Boy,Chico
Colleague,Colega
Prolateriat,proletariado
Bank teller,Cajero de banco
Cousin,Primo
Niece,Sobrina
Nephew,Sobrino
Teacher,Maestro
Professor,Profesor
News anchor,presentador de noticias
Construction worker,trabajador de la construcción
Lawyer,Abogado
Dentist,Dentista
Salesman,Vendedor
American,Americano
Mexican,mexicano
European,europeo
Hairdresser,Peluquero
Farmer,Agricultor
Bartender,Barman
Baby,Bebé
Postman,Cartero
Comedian,Cómico
