English,Spanish
What is your name?,¿Cómo te llamas?
How are you?,¿Cómo estás?
Thank you,Gracias
I am sorry,Lo siento
I am good,Estoy bien
What time is it?,¿Qué hora es?
How much does that cost?,¿Cuánto cuesta eso?
Are there eggs in this?,¿Esto lleva huevos?
Can you remove the cheese? ,¿Puedes quitar el queso?
Where is it?,¿Dónde está?
I don't like it,No me gusta
I want to try ,Quiero intentarlo
I am tired,Estoy cansado
I ready to go,Estoy listo para irme
Is it time to go?,¿Es hora de irse?
When does the train ar?,¿Cuándo llega el tren?
Can I have?,¿Puedo tener?
I am from Alaska,Soy de Alaska.
We are retirees,Somos jubilados.
I don't want to buy it,No quiero comprarlo
Can I buy this?,¿Puedo comprar esto?
Can you speak slower?,¿Puedes hablar más despacio?
I am learning spanish,Estoy aprendiendo español
I speak spanish poorly,Hablo español mal
Do you speak English?,¿Hablas inglés?
Is our hotel room ready?,¿Está lista nuestra habitación de hotel?
Can I have the tacos without cheese?,¿Puedo pedir los tacos sin queso?
Excuse me,Disculpe
Can you repeat that? ,¿Puedes repetir eso?
Alaska is too cold,Alaska es demasiado fría
Where is the best beach?,¿Cuál es la mejor playa?
Do you understand?,¿Lo entiendes?
I can't eat dairy,No puedo comer lácteos
Do you have soy milk?,¿Tienes leche de soja?
Do you like American football?,¿Te gusta el fútbol americano?
The Detroit Lions are my favorite team,Los Detroit Lions son mi equipo favorito.
Where is a good coffee shop?,¿Dónde hay una buena cafetería?
Where can I buy vegan cheese?,¿Dónde puedo comprar queso vegano?
We like tiki bars,Nos gustan los bares tiki
We've never been here before,Nunca habíamos estado aquí antes
I need to buy ,Necesito comprar
I have a headache,Me duele la cabeza
I am really thirsty,Tengo mucha sed
Do you sell water? ,¿Vendéis agua?
It's really hot!,¡Hace muchísimo calor!
That's funny! ,¡Es gracioso! 
Do you sell toothpaste?,¿Vendéis pasta de dientes?
Can I sit here?,¿Puedo sentarme aquí?
I don't know,No sé
