English,Spanish
Dressed to kill,De punta en blanco
Right on the nose,Dar en el blanco
Overly optimistic/Rose colored glasses,Ver todo color de rosa
Born with a silver spoon,Tener sangre azul
To find your soul mate,Encontrar tu media naranja
So embarressed,Ponerse rojo como un tomate
Like apples and oranges,No hay color
To be jinxed,Tener la negra
To be eagle eyed,Tener vista de lince
To have a bad memory,Tener memoria de pez
To be a black sheep,Ser la oveja negra
To be a chicken (coward),Ser un gallina
To swindle someone,Dar gato por liebre
To be crazy,Estar como una cabra
To be like a snake in the grass,Ser una rata
To be lucky,Tener más vidas que un gato
Piece of cake (easy),Ser pan comido
To be eye candy,Ser un bombón
To be old,Ser del año de la pera
To turn the tables,Dar la vuelta a la tortilla
Couldn't care less,No importar un pepino/rábano
To be a blockhead,Ser un melón
Finding the same person everywhere you go,Estar hasta en la sopa
To eat lunch (slang),Comer la papa
No rhyme or reason,No tener pies ni cabeza
Not being able to sleep,No pegar un ojo
To walk on eggshells,Andar con pies de plomo
Cost a fortune,Costar un ojo de la cara
To be straight forward,Sin pelos en la lengua
Take the scenic route,Buscar la quinta pata al gato
To be fed up,Estar hasta las narices
Between a rock and a hard place,Entre la espada y la pared
Two birds one stone,Matar dos pájaros de un tiro
Hard pressed,A duras penas
To fly off the handle,Perder los estribos
Of good faith,De buena fe
To have a screw loose,Faltarle un tornillo
To get away with it,Salirse con la suya
To rest on your laurels,Dormirse en los laureles
Up to your neck (in trouble),Con la soga al cuello
To put your foot in your mouth,Meter la pata
To get energized (get poop in a group),Ponerse las pilas
Just in case,Por si las moscas
Have your head in the clouds,Estar en las nubes
To celebrate prematurely (Leon Lett!),Cantar victoria antes de tiempo
Cross your fingers,Cruzar los dedos 
To give your word ,Poner la mano en el fuego 
Work hard for others and neglect themselves,"En casa de herrero, cuchillo de palo"
Unadulterated (like neat whiskey),A palo seco
Speak of the devil,Hablando del rey de Roma
