English,Spanish
Red,Rojo
Blue,Azul
Teal,Verde azulado
Yello,Amarillo
Green,Verde
Bright,Brillante
Dark,Oscuro
Black,Negro
White,Blanco
Tan,Broncearse
Brown,Marrón
Purple,Púrpura
Grey,Gris
Violet,Violeta
Pink,Rosa
Ten,Diez
Eleven,Once
Twelve,Doce
Thirteen,Trece
Fourteen,Catorce
Fifteen,Quince
Sixteen,Dieciséis
Seventeen,Diecisiete
Eighteen,Dieciocho
Nineteen,Diecinueve
Twenty,Veinte
Twenty one,Veintiuno
Twenty two,Veintidós
Thirty,Treinta
Thirty one,Treinta y uno
Thirty two,Treinta y dos
Fourty,Cuarenta
Fourty one,Cuarenta y uno
Fifty,Cincuenta
Fifty one,Cincuenta y uno
Sixty,Sesenta
Sixty one,Sesenta y uno
Seventy,Setenta
Seventy two,Setenta y dos
Eighty ,Ochenta 
Eighty one,Ochenta y uno
Ninety,Noventa
Ninety one,Noventa y uno
One hundred,Ciento
One hundred and one,Ciento uno
One thousand,Mil
One thousand and two,Mil dos
One million,Un millón
One hundred thousand,Cien mil
One billion,Mil millones
