English,Spanish
Tener,To have
I have a book,Tengo un libro
You have a book,Tienes un libro
He has a house,Tiene una casa
We have a cat,Tenemos una gata
They have money,Tienen dinero
I had/got a book,Tuve un libro
You had/got a book,Tuviste un libro
He had/got a house,Tuvo una casa
We had/got a cat :( ,Tuvimos una gata
They had/got money,Tuvieron dinero
I used to have a car,Tenía un coche
You used to have a money,Tenías dinero
She used to have a house,Ella tenía una casa
We used to have a cat :'(,Teníamos una gata
They used to have money,Tenían dinero
We will have time,Tendré tiempo
You will have a dog,Tendrás un perro
He will have a house,él tendrá una casa
We will have a cat :D ,Tendremos un gato
They will have problems,Tendrán problemas
I would have time,Tendría tiempo
You would have a car,Tendrías un coche
She would have a house,Tendrías una casa
We would have a cat D: ,Tendríamos un gato
They would have money,Tendrían dinero
