English,Spanish
Hacer,To do/make/ask
I make it,Lo hago
You make it,Lo haces
He makes food,Hace la comida
We ask a question (hacer),Hacemos una pregunta
They make coffee,Hacen café 
I made it,Lo hice
You made it,Lo hiciste
He made food,Hizo la comida
We asked a question,Hicimos una pregunta
They made coffee,Hicieron café
I used to make it,Lo hacía 
You used to make it,Lo hacías
He used to make food,Él hacía la comida (use pronoun)
We used to ask questions,Hacíamos preguntas
They used to make coffee,Hacían café
I will make it,Lo haré
You will make it,Lo harés
He will make food,Él hará la comida (use pronoun)
We will ask questions,Haremos preguntas
They will make coffee,Harán café
I would make it,Lo haría
You would make it,Lo harías
He would make food,Él haría la comida (use pronoun)
We would ask questions,Haríamos preguntas
They would make coffee,Harían café
