English,Spanish
To be (perminant) ,Ser
"I am
You are
He/She is
We are
They are","Soy
Eres
Es
Somos
Son"
I am Chelsey,Soy Chelsey
You are from Alaska,Eres de Alaska
He is a student,Él es un estudiante
They are students,Son estudiantes
We are from the U.S.,Somos de Estados Unidos.
"Preterite Tense (completed single event)
I was
You were
He/She was
We were
They were","Fui
Fuiste
Fue
Fureron
Fuimos"
I was a student,Fui estudiante 
You were my friend,Fuiste mi amigo
He was a a student ,Fue estudiante
They were students ,Fueron estudiantes
We were friends ,Fuimos amigos
"Imperfect Tense (ongoing actions/habits)
I was going/was
You were going/were
He/She was going/was
We were going/were
They were going/were","Estabo
Estabas
Era
Éramos
Eran"
I was fat,Yo estaba gordo
You were fat,Estabas gordo
He was fat,Él era gordo
We were fat,Éramos gordos
They were fat,Eran gordos
"Future tense
I will be
You will be
He/She will be
We will be
They will be","Seré
Serás
Será
Seremos
Serán"
I will be old,Seré viejo
You will be old,Serás viejo
He will be old,Será viejo
We will be old,Seremos viejos
They will be old,Serán viejos
"Conditional tense
I would be
You would be
He/She would be
We would be
They would be","Sería
Serías
Sería (use pronoun)
Estaríamos
Serían
"
I would be happy in San Diego,Sería feliz en San Diego.
You would be happy in San Diego,Serías feliz en San Diego.
It would be easy,Sería fácil
We would be fat,Estaríamos gordos
They would be fat cats,Serían unos gatos gordos
