English,Spanish
To be (transitory),Estar
I am happy,Estoy feliz
You are on vacation,Estás de vacaciones
He is mad,Está loco
We are on vacation ,Estamos de vacaciones
They are happy,Son felices
I was home yesterday,Estuve en casa ayer
You were home yesterday,Estuviste en casa ayer.
He was sick last week,Estuvo enfermo la semana pasada.
We were sick last week,Estuvimos enfermos la semana pasada.
They were home yesterday,Estuvieron en casa ayer
I was angry,Estaba enojado
You were tired,Estabas cansado
She was happy,Estaba feliz
We were tired,Estábamos cansados
They were happy,Estaban feliz
I will be at the beach ,Estaré en la playa.
You will be at the bar,Estarás en el bar
He will be at the bar,Estará en el bar.
We will be at the beach,Estaremos en la playa.
They will be at the bar,Estarán en el bar.
I would be tired,Yo estaría cansado
You would be tired,Estarías cansado
He would be tired,Estaría cansado
We would be tired ,Estaríamos cansados
They would be tired,Estarían cansados
