English,Spanish
Where are you from?,¿De dónde eres?
What do you recommend?,¿Qué me recomienda?
What is your job?,¿Cuál es tu trabajo?
Do you like it here?,¿Te gusta estar aquí?
What is the date?,¿Cuál es la fecha?
We lived all over the United States,Vivimos por todo Estados Unidos.
Our favorite city is San Diego,Nuestra ciudad favorita es San Diego.
Can I ask a question?,¿Puedo hacer una pregunta?
Can you take us to the airport?,¿Nos puedes llevar al aeropuerto?
Sorry to bother you,Lamento molestarlo
Can you bring us the check?,¿Nos puedes traer la cuenta?
I don't think so,No me parece
I disagree,no estoy de acuerdo
How often?,¿Con qué frecuencia?
Why?,¿Por qué?
Another beer for me please,"Otra cerveza para mí, por favor"
What time do you close?,¿A qué hora cierran?
What time do you open?,¿A qué hora abren?
I'd like to reserve a room,Me gustaría reservar una habitación.
For 12 nights,Durante 12 noches
My key is not working,Mi llave no funciona
The construction noise is loud,El ruido de la construcción es fuerte.
Where is the elevator,¿Dónde está el ascensor?
What floor am I on?,¿En qué piso estoy?
What time is breakfast?,¿A qué hora es el desayuno?
Do you serve vegan options?,¿Ofrecen opciones veganas?
How much to take the bus?,¿Cuánto cuesta ir en autobús?
Does the bus go to the beach?,¿El autobús va a la playa?
When will this be available?,¿Cuándo estará disponible?
Does rent include the Internet?,¿El alquiler incluye internet?
How fast is the Internet?,¿Qué tan rápida es Internet?
Is there air conditioning?,¿Hay aire acondicionado?
Is this a safe area?,¿Es esta una zona segura?
Did you grow up here?,¿Creciste aquí?
How much has it changed?,¿Cuánto ha cambiado?
Next bus stop,Siguiente parada de autobús
Where is the subway stop?,¿Dónde está la parada de metro?
How much is a bus ticket?,¿Cuánto cuesta un billete de autobús?
Can we get a tour guide?,¿Podemos conseguir un guía turístico?
We speak spanish like children,Hablamos español como niños
What's going on over there?,¿Qué está pasando allí?
Is it closed?,¿Está cerrado?
I need sunscreen,Necesito protector solar
I'm feeling lazy,Me siento perezoso
Cats are better than dogs,Los gatos son mejores que los perros.
I can speak Spanish if that helps,Puedo hablar español si eso ayuda.
What music do you like?,¿Qué música te gusta?
It's our siren song,Es nuestro canto de sirena
Politics in the united states is very dumb,La política en Estados Unidos es muy tonta.
I need to stretch,Necesito estirarme
